Pressure	Volume
0.523474	83.485413
0.542707	83.562950
0.562150	83.641060
0.581771	83.719757
0.601600	83.799034
0.621618	83.878876
0.641813	83.959167
0.662181	84.039902
0.682734	84.121201
0.703482	84.203087
0.724421	84.285530
0.745533	84.368546
0.766838	84.452110
0.788324	84.536240
0.809982	84.620918
0.831825	84.706154
0.853840	84.791924
0.876035	84.878242
0.898394	84.965096
0.920922	85.052483
0.943621	85.140396
0.966479	85.228828
0.989505	85.317780
1.012696	85.407257
1.036042	85.497231
1.059538	85.587708
1.083194	85.678680
1.107000	85.770164
1.130959	85.862122
1.155063	85.954559
1.179309	86.047478
1.203699	86.140869
1.228229	86.234718
1.252900	86.328987
1.277709	86.423737
1.302645	86.518913
1.327722	86.614532
1.352916	86.710594
1.378256	86.807076
1.403709	86.904015
1.429281	87.001350
1.454992	87.099098
1.480807	87.197273
1.506746	87.295837
1.532800	87.394798
1.558962	87.494148
1.585235	87.593895
1.611619	87.693993
1.638110	87.794472
1.664709	87.895317
1.691402	87.996513
1.718200	88.098053
1.745092	88.199951
1.772094	88.302185
1.799184	88.404747
1.826364	88.507629
1.853631	88.610840
1.880990	88.714348
1.908435	88.818169
1.935976	88.922302
1.963589	89.026733
1.991290	89.131447
2.019066	89.236450
2.046912	89.341713
2.074847	89.447243
2.102855	89.553040
2.130935	89.659088
2.159070	89.765358
2.187304	89.871887
2.215585	89.978638
2.243937	90.085632
2.272352	90.192841
2.300838	90.300255
2.329381	90.407860
2.357984	90.515686
2.386651	90.623711
2.415361	90.731903
2.444136	90.840294
2.472972	90.948860
2.501853	91.057587
2.530778	91.166481
2.559764	91.275536
2.588793	91.384735
2.617879	91.494080
2.646999	91.603569
2.676162	91.713196
2.705373	91.822975
2.734626	91.932892
2.763916	92.042931
2.793244	92.153076
2.822621	92.263306
2.852019	92.373665
2.881470	92.484108
2.910943	92.594635
2.940442	92.705238
2.969989	92.815941
2.999562	92.926697
3.029162	93.037529
3.058796	93.148415
3.088445	93.259377
3.118131	93.370369
3.147835	93.481422
3.177582	93.592522
3.207323	93.703651
3.237098	93.814812
3.266892	93.926003
3.296711	94.037224
3.326547	94.148460
3.356389	94.259705
